name,uid,code,parent
Acre,Kq2mBYzkgqI,BRA012,dpcvWc01CeN
Alagoas,FJXdf2VyYgV,BRA027,dpcvWc01CeN
Amapa,yYgkfyHUMMK,BRA016,dpcvWc01CeN
Amazonas,Cj8WDycSqMi,BRA013,dpcvWc01CeN
Bahia,x6vBh9EG3di,BRA029,dpcvWc01CeN
Ceara,b3vvs1cz8vZ,BRA023,dpcvWc01CeN
Distrito Federal,dF8Z8yMCVRB,BRA053,dpcvWc01CeN
Espirito Santo,M80iATz25Yh,BRA032,dpcvWc01CeN
Goias,edJgTHEMRui,BRA052,dpcvWc01CeN
Maranhao,DhzUMjAyfdw,BRA021,dpcvWc01CeN
Mato Grosso,jIGp9CuokjF,BRA051,dpcvWc01CeN
Mato Grosso do Sul,A8ef6XIAlhH,BRA050,dpcvWc01CeN
Minas Gerais,THvAuo7JhHC,BRA031,dpcvWc01CeN
Para,yJMljzx4DSI,BRA015,dpcvWc01CeN
Paraiba,g2OBSONgVuP,BRA025,dpcvWc01CeN
Parana,GlcmXRg1FLb,BRA041,dpcvWc01CeN
Pernambuco,fFBH719xqTk,BRA026,dpcvWc01CeN
Piaui,O8XIP7KjD37,BRA022,dpcvWc01CeN
Rio de Janeiro,mXfzF9SgYvG,BRA033,dpcvWc01CeN
Rio Grande do Norte,B4qRtIz7Tkh,BRA024,dpcvWc01CeN
Rio Grande do Sul,zv8HAg5TfRU,BRA043,dpcvWc01CeN
Rondonia,cst4EAK515d,BRA011,dpcvWc01CeN
Roraima,DfZSTQMJDJU,BRA014,dpcvWc01CeN
Santa Catarina,agc7ELxJpi8,BRA042,dpcvWc01CeN
Sao Paulo,WMPwy3msl1q,BRA035,dpcvWc01CeN
Sergipe,xgYRVDspQy2,BRA028,dpcvWc01CeN
Tocantis,Rki84LUFuvx,BRA017,dpcvWc01CeN
