name,uid,code,parent
La Chorrera (Cor. Departamental),lqsvhRy3cPw,COL001002,Ji1FvDVNwpt
La Victoria (Pacoa) (cor. Departamental),LAxlySN6XXb,COL001004,Ji1FvDVNwpt
Miriti-parana (Campoamor) (cor. Departamental),YkQ4wPrcYMG,COL001006,Ji1FvDVNwpt
Santander (Araracuara) (Cor. Departamental),tA9W74FFXxV,COL001010,Ji1FvDVNwpt
Abejorral,zl9eM5Ktw6L,COL002001,WwV7x9M05gb
Abriaqui,SpjEmo0b3ad,COL002002,WwV7x9M05gb
Alejandria,Hwz7d1miMFq,COL002003,WwV7x9M05gb
Amaga,iHSFXg8d2Ck,COL002004,WwV7x9M05gb
Amalfi,MjWaoss0ngX,COL002005,WwV7x9M05gb
Andes,M8yhYNRxa4k,COL002006,WwV7x9M05gb
Angelopolis,sLwf4qYEiAm,COL002007,WwV7x9M05gb
Angostura,OHrApXdjDQd,COL002008,WwV7x9M05gb
Anori,Eb0K4thtnnr,COL002009,WwV7x9M05gb
Anza,CQ4qu36T5St,COL002010,WwV7x9M05gb
Apartado,fYcIDOdXBd4,COL002011,WwV7x9M05gb
Arboletes,SAPUXCeNKoE,COL002012,WwV7x9M05gb
Argelia,Xbw7pAZW6Of,COL002013,WwV7x9M05gb
Armenia,tmXtKrGMe82,COL002014,WwV7x9M05gb
Barbosa,WrWQJ1xFuaj,COL002015,WwV7x9M05gb
Bello,VFqlvlLlUZg,COL002016,WwV7x9M05gb
Belmira,QhiSYbzqAbm,COL002017,WwV7x9M05gb
Betania,PY0S2JLb3rJ,COL002018,WwV7x9M05gb
Betulia,BRBgwLc2Xnq,COL002019,WwV7x9M05gb
Briceno,N4a2xARVz14,COL002020,WwV7x9M05gb
Buritica,Ppedm0QjMxP,COL002021,WwV7x9M05gb
Caicedo,V8CBhcDfoNm,COL002023,WwV7x9M05gb
Caldas,JIsltMRvTy0,COL002024,WwV7x9M05gb
Campamento,NcCv7uCfpVI,COL002025,WwV7x9M05gb
Caracoli,JboK44QG41B,COL002027,WwV7x9M05gb
Caramanta,q4JKDq6pLZx,COL002028,WwV7x9M05gb
Carepa,nvr9jjodk9Z,COL002029,WwV7x9M05gb
Carmen De Viboral,CLM2FA2g4RJ,COL002030,WwV7x9M05gb
Carolina,NSlwIZLPXIi,COL002031,WwV7x9M05gb
Caucasia,S2nIV50kQec,COL002032,WwV7x9M05gb
Canasgordas,nEAmna3gvHg,COL002026,WwV7x9M05gb
Chigorodo,CJcRkD9pj1Y,COL002033,WwV7x9M05gb
Cisneros,HRUhJ3g2KjY,COL002034,WwV7x9M05gb
Ciudad Bolivar,OJyxswjPuTw,COL002035,WwV7x9M05gb
Cocorna,zT9ZItORBSr,COL002036,WwV7x9M05gb
Concepcion,lXyPINTw4wV,COL002037,WwV7x9M05gb
Concordia,Ww856wRQ6vR,COL002038,WwV7x9M05gb
Copacabana,D9cWbMihNzq,COL002039,WwV7x9M05gb
Caceres,IAxfu0XJFDC,COL002022,WwV7x9M05gb
Dabeiba,wxfHPR7hQ83,COL002040,WwV7x9M05gb
Don Matias,MOviV7byaZA,COL002041,WwV7x9M05gb
Ebejico,xf6iPWZdHGw,COL002042,WwV7x9M05gb
El Bagre,eHXeSompwmi,COL002043,WwV7x9M05gb
Entrerrios,ydnkf0fDf97,COL002044,WwV7x9M05gb
Envigado,XsJefH8ZKvw,COL002045,WwV7x9M05gb
Fredonia,FHMOrqw7kmE,COL002046,WwV7x9M05gb
Frontino,OXsfT6JEaka,COL002047,WwV7x9M05gb
Giraldo,uTMjQFel1Es,COL002048,WwV7x9M05gb
Girardota,yFZO9DIcBGi,COL002049,WwV7x9M05gb
Granada,VAcLTqKtgbz,COL002051,WwV7x9M05gb
Guadalupe,opa6rQpjB5u,COL002052,WwV7x9M05gb
Guarne,FhN4nMOjaYV,COL002053,WwV7x9M05gb
Guatape,WUA1WeUHLa0,COL002054,WwV7x9M05gb
Gomez Plata,ilI1Nibvh9V,COL002050,WwV7x9M05gb
Heliconia,drkRFlK3RQL,COL002055,WwV7x9M05gb
Hispania,WCP5IcWQNLb,COL002056,WwV7x9M05gb
Itagui,Xg2BFSFOfsC,COL002057,WwV7x9M05gb
Ituango,UilbecvP0Pb,COL002058,WwV7x9M05gb
Jardin,biAga7R737T,COL002059,WwV7x9M05gb
Jerico,OLyclHRXbm0,COL002060,WwV7x9M05gb
La Ceja,E6KbdXNrHQz,COL002061,WwV7x9M05gb
La Estrella,TOz1E3POuLR,COL002062,WwV7x9M05gb
La Pintada,tNJTq7Ebk9N,COL002063,WwV7x9M05gb
La Union,ln99u87RvHy,COL002064,WwV7x9M05gb
Liborina,oOWiEWNddsU,COL002065,WwV7x9M05gb
Maceo,TDDU1d6kpm0,COL002066,WwV7x9M05gb
Marinilla,C5EvSP5oe2u,COL002067,WwV7x9M05gb
Medellin,aeQtPNWgifS,COL002068,WwV7x9M05gb
Montebello,SUxdgsGv6Ln,COL002069,WwV7x9M05gb
Murindo,eTBqyudPU4E,COL002070,WwV7x9M05gb
Mutata,sUuyMnU32a9,COL002071,WwV7x9M05gb
Narino,NKB3DJFR0rd,COL002072,WwV7x9M05gb
Nechi,zgtGmm3Vjha,COL002073,WwV7x9M05gb
Olaya,SJTlqrpiAP0,COL002075,WwV7x9M05gb
Peque,Boxe7GwldYv,COL002077,WwV7x9M05gb
Penol,r98qjsMy7j3,COL002076,WwV7x9M05gb
Pueblorrico,qxj7fPkTUfv,COL002078,WwV7x9M05gb
Puerto Berrio,v56ibaZCE8Z,COL002079,WwV7x9M05gb
Puerto Nare,RxWwidizyot,COL002080,WwV7x9M05gb
Puerto Triunfo,VkNmZBcvgH5,COL002081,WwV7x9M05gb
Remedios,PKSyANht4sI,COL002082,WwV7x9M05gb
Retiro,sKx9r7libBA,COL002083,WwV7x9M05gb
Rionegro,sZbHcerDgNX,COL002084,WwV7x9M05gb
Sabanalarga,x3oeIld5Wus,COL002085,WwV7x9M05gb
Sabaneta,sLMzYfc7R02,COL002086,WwV7x9M05gb
Salgar,ry61bzqGh2i,COL002087,WwV7x9M05gb
San Andres,SgCBIjF2ry2,COL002088,WwV7x9M05gb
San Carlos,SAmoSZNu80B,COL002089,WwV7x9M05gb
San Francisco,yoYOjuTFX2b,COL002090,WwV7x9M05gb
San Jeronimo,j7KG5n3C1kB,COL002091,WwV7x9M05gb
San Jose De La Montana,BHEjG0uk6Tq,COL002092,WwV7x9M05gb
San Juan De Uraba,EFev1SHxGGO,COL002093,WwV7x9M05gb
San Luis,KU8RBAxt8sU,COL002094,WwV7x9M05gb
San Pedro,ihJsXJd89bD,COL002095,WwV7x9M05gb
San Pedro De Uraba,Al1POUotkjS,COL002096,WwV7x9M05gb
San Rafael,UlbchoB9HoU,COL002097,WwV7x9M05gb
San Roque,cC3NcggkReQ,COL002098,WwV7x9M05gb
San Vicente,DEpOGZhVIoX,COL002099,WwV7x9M05gb
Santa Barbara,fdjGqKKxPso,COL002100,WwV7x9M05gb
Santa Fe De Antioquia,bLr9NP7ubQf,COL002101,WwV7x9M05gb
Santa Rosa De Osos,AESbQT0T7Vd,COL002102,WwV7x9M05gb
Santo Domingo,l5tqUX7yX3p,COL002103,WwV7x9M05gb
Santuario,tKsivVRuPbi,COL002104,WwV7x9M05gb
Segovia,iddzdjFBna5,COL002105,WwV7x9M05gb
Sonson,l1etFeGtSsE,COL002106,WwV7x9M05gb
Sopetran,Ieg5syRls5n,COL002107,WwV7x9M05gb
Taraza,wy56RImNwER,COL002109,WwV7x9M05gb
Tarso,K7DnEr0FkTO,COL002110,WwV7x9M05gb
Titiribi,AWgf1NsjHET,COL002111,WwV7x9M05gb
Toledo,CRLmdCPPoe8,COL002112,WwV7x9M05gb
Tamesis,JXXHPi1Tpgg,COL002108,WwV7x9M05gb
Uramita,wZJNIr8BTd0,COL002114,WwV7x9M05gb
Urrao,pEJPlxNiNuY,COL002115,WwV7x9M05gb
Valdivia,iLPAeXX20ih,COL002116,WwV7x9M05gb
Valparaiso,eYoapa8dDZJ,COL002117,WwV7x9M05gb
Vegachi,I6QgC3h1yTJ,COL002118,WwV7x9M05gb
Venecia,FZC0ksnBiv1,COL002119,WwV7x9M05gb
Vigia Del Fuerte,PFLkVFdmDxl,COL002120,WwV7x9M05gb
Yali,asKnflrCqMe,COL002121,WwV7x9M05gb
Yarumal,yRqTqQ0JRJR,COL002122,WwV7x9M05gb
Yolombo,tGqd5daAQmN,COL002123,WwV7x9M05gb
Yondo (casabe),vl5g8IUUnHK,COL002124,WwV7x9M05gb
Zaragoza,dEeyFYpCnBt,COL002125,WwV7x9M05gb
Arauca,l8cU2ncXAqu,COL003001,xyQ5KMllfnR
Arauquita,uQrrnhCAf8j,COL003002,xyQ5KMllfnR
Cravo Norte,Ch3HpQhRMK6,COL003003,xyQ5KMllfnR
Fortul,nd3N9zTWC35,COL003004,xyQ5KMllfnR
Puerto Rondon,FvtErIig5nR,COL003005,xyQ5KMllfnR
Saravena,cKQjKS5lNoq,COL003006,xyQ5KMllfnR
Tame,uF69GGmHTea,COL003007,xyQ5KMllfnR
Baranoa,Jx8dWTyBlUV,COL005001,moEXiWSr41H
"Barranquilla (Distrito Especial,  Industrial Y Portuario)",piMum7ZswdY,COL005002,moEXiWSr41H
Campo De La Cruz,TkNHhqu4aTF,COL005003,moEXiWSr41H
Candelaria,z2jPJ2RWos2,COL005004,moEXiWSr41H
